metagenre,vol,num,author,author_std,title,subtitle,editorial,genre,city,publisher,year,series,pages,printrun,price,contents
method,1918-1931,1,"Аббе, А.",АббеА,Как сделать проекционный фонарь и эпидиоскоп,,,,Л.; М.,Научное кн-во,1926,Библиотека журн. «В мастерской природы». Для умелых рук,38,6000,0.4,
method,1918-1931,2,"Аббе, А.",АббеА,Самодельные гальванические элементы,,,,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Для умелых рук,44,4000,0.6,
method,1918-1931,3,"Аббе, А.",АббеА,Самодельные гальванические элементы,,Изд. 2-е,,Л.,Научное кн-во,1929,Библиотека журн. «В мастерской природы». Для умелых рук,44,5000,0.4,
method,1918-1931,4,"Аббе, А.",АббеА,Самодельные гальванические элементы,,Изд. 3-е,,Л.,Научное кн-во,1931,Библиотека журн. «В мастерской природы». Для умелых рук,44,5000,0.4,
method,1918-1931,5,"Аббе, А.",АббеА,Самодельные электрические аккумуляторы,,,,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Для умелых рук,52,5000,0.45,
method,1918-1931,6,"Аббе, А.",АббеА,Самодельные электрические аккумуляторы,,Изд. 2-е,,Л.,Научное кн-во,1929,Библиотека журн. «В мастерской природы». Для умелых рук,52,5000,0.45,
method,1918-1931,7,"Аббе, А.",АббеА,Электрический трамвай,Рабочая модель,,,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Для умелых рук,32,5000,0.35,
method,1918-1931,8,"Абесгауз, Б.",АбесгаузБ,Памятка кружку ЮДМ (юных друзей МОПР),,,,М.,изд-во ЦК МОПР СССР,1930,,16,75000,0.4,
method,1918-1931,9,"Аби, Я. С.",АбиЯС,Путешествие для примера всем пионерам,,Рис. И. Вакс и Н. Кравченко.,,Л.,Красная звезда,1925,,10,5100,0.5,
method,1918-1931,15,"Абрамов, А.; Голицын, В.",ГолицынВ,Сделай сам конвейер,,,,М.,Огиз—Молодая гвардия,1931,,48,25000,0.35,
nonfic,1918-1931,16,"Абрамов, И. С.",АбрамовИС,Что говорят забытые могилы,,Предисл. М. В. Новорусского. Изд. 2-е,,М.,Жизнь и знание,1927,Библиотека для юношества,169,8000,2,
nonfic,1918-1931,17,"Абрамов, Я. В.",АбрамовЯВ,Георг Стефенсон,,,,П.,Сотрудничество,1919,,48,20000,,
nonfic,1918-1931,18,"Абрамов, Я. В.",АбрамовЯВ,Роберт Фультон,,,,П.,Сотрудничество,1919,,32,20000,,
fic,1918-1931,37,"Аверин, В.",АверинВ,Бесик,История одного хорька,Изд. 2-е,,Кишинев,Бессарабское кн-во,1918,,,,,
nonfic,1918-1931,38,"Аверин, В.",АверинВ,Бесик,История одного хорька,Изд. 2-е,,М.,Знание,1924,Библиотека юного натуралиста,20,5000,0.15,
nonfic,1918-1931,43,"Авсюкевич, В.",АвсюкевичВД,Как мы защищаемая с моря,Кронштадт,,,М.; Л.,Огиз — Учпедгиз,1931,Краев. библиотека школьника,64,10000,0.35,
