metagenre,vol,num,author,author_std,title,subtitle,editorial,genre,city,publisher,year,series,pages,printrun,price,contents
method,1918-1931,1,"Аббе, А.",АббеА,Как сделать проекционный фонарь и эпидиоскоп,nan,nan,nan,Л.; М.,Научное кн-во,1926.0,Библиотека журн. «В мастерской природы». Для умелых рук,38.0,6000.0,0.4,nan
method,1918-1931,2,"Аббе, А.",АббеА,Самодельные гальванические элементы,nan,nan,nan,Л.,Научное кн-во,1928.0,Библиотека журн. «В мастерской природы». Для умелых рук,44.0,4000.0,0.6,nan
method,1918-1931,3,"Аббе, А.",АббеА,Самодельные гальванические элементы,nan,Изд. 2-е,nan,Л.,Научное кн-во,1929.0,Библиотека журн. «В мастерской природы». Для умелых рук,44.0,5000.0,0.4,nan
method,1918-1931,4,"Аббе, А.",АббеА,Самодельные гальванические элементы,nan,Изд. 3-е,nan,Л.,Научное кн-во,1931.0,Библиотека журн. «В мастерской природы». Для умелых рук,44.0,5000.0,0.4,nan
method,1918-1931,5,"Аббе, А.",АббеА,Самодельные электрические аккумуляторы,nan,nan,nan,Л.,Научное кн-во,1928.0,Библиотека журн. «В мастерской природы». Для умелых рук,52.0,5000.0,0.45,nan
method,1918-1931,6,"Аббе, А.",АббеА,Самодельные электрические аккумуляторы,nan,Изд. 2-е,nan,Л.,Научное кн-во,1929.0,Библиотека журн. «В мастерской природы». Для умелых рук,52.0,5000.0,0.45,nan
method,1918-1931,7,"Аббе, А.",АббеА,Электрический трамвай,Рабочая модель,nan,nan,Л.,Научное кн-во,1928.0,Библиотека журн. «В мастерской природы». Для умелых рук,32.0,5000.0,0.35,nan
method,1918-1931,8,"Абесгауз, Б.",АбесгаузБ,Памятка кружку ЮДМ (юных друзей МОПР),nan,nan,nan,М.,изд-во ЦК МОПР СССР,1930.0,nan,16.0,75000.0,0.4,nan
method,1918-1931,9,"Аби, Я. С.",АбиЯС,Путешествие для примера всем пионерам,nan,Рис. И. Вакс и Н. Кравченко.,nan,Л.,Красная звезда,1925.0,nan,10.0,5100.0,0.5,nan
method,1918-1931,15,"Абрамов, А.; Голицын, В.",ГолицынВ,Сделай сам конвейер,nan,nan,nan,М.,Огиз—Молодая гвардия,1931.0,nan,48.0,25000.0,0.35,nan
nonfic,1918-1931,16,"Абрамов, И. С.",АбрамовИС,Что говорят забытые могилы,nan,Предисл. М. В. Новорусского. Изд. 2-е,nan,М.,Жизнь и знание,1927.0,Библиотека для юношества,169.0,8000.0,2.0,nan
nonfic,1918-1931,17,"Абрамов, Я. В.",АбрамовЯВ,Георг Стефенсон,nan,nan,nan,П.,Сотрудничество,1919.0,nan,48.0,20000.0,nan,nan
nonfic,1918-1931,18,"Абрамов, Я. В.",АбрамовЯВ,Роберт Фультон,nan,nan,nan,П.,Сотрудничество,1919.0,nan,32.0,20000.0,nan,nan
fic,1918-1931,37,"Аверин, В.",АверинВ,Бесик,История одного хорька,Изд. 2-е,nan,Кишинев,Бессарабское кн-во,1918.0,nan,nan,nan,nan,nan
fic,1918-1931,38,"Аверин, В.",АверинВ,Бесик,История одного хорька,Изд. 2-е,nan,М.,Знание,1924.0,Библиотека юного натуралиста,20.0,5000.0,0.15,nan
nonfic,1918-1931,43,"Авсюкевич, В.",АвсюкевичВД,Как мы защищаемая с моря,Кронштадт,nan,nan,М.; Л.,Огиз — Учпедгиз,1931.0,Краев. библиотека школьника,64.0,10000.0,0.35,nan
method,1918-1931,78,"Адамович, П. А.",АдамовичПА,Гудочек,Как самому сделать музыкальный инструмент,nan,nan,М.,Крестьянская газета,1928.0,Библиотека «Дружные ребята»,30.0,25000.0,0.1,nan
method,1918-1931,79,"Адамович, П. А.",АдамовичПА,Гудочек,Как самому сделать музыкальный инструмент,nan,nan,М.,Крестьянская газета,1929.0,Библиотека «Дружные ребята»,30.0,30000.0,0.1,nan
method,1918-1931,80,"Адамович, П. А.",АдамовичПА,Гудочек,Как самому сделать музыкальный инструмент,Изд. 2-е,nan,М.,Крестьянская газета,1931.0,Библиотека «Дружные ребята»,48.0,30000.0,0.1,nan
fic,1918-1931,81,"Адольф, Н.",АдольфН,Забастовка,nan,nan,nan,М.,Огиз—Молодая гвардия,1931.0,nan,32.0,25000.0,0.3,nan
folk,1918-1931,86,"Азаров, К.; Мазуркевич, В.",АзаровК,Ковер-самолет,nan,nan,nan,Л.; М.,Радуга,1926.0,nan,11.0,30000.0,0.23,nan
