vol,num,author,author_std,title,subtitle,editorial,genre,city,publisher,year,series,pages,printrun,price,contents
1918-1931,1,"Аббе, А.",АббеА,Как сделать проекционный фонарь и эпидиоскоп,NA,NA,NA,Л.; М.,Научное кн-во,1926,Библиотека журн. «В мастерской природы». Для умелых рук,38,6000,0.4,NA
1918-1931,2,"Аббе, А.",АббеА,Самодельные гальванические элементы,NA,NA,NA,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Для умелых рук,44,4000,0.6,NA
1918-1931,3,"Аббе, А.",АббеА,Самодельные гальванические элементы,NA,Изд. 2-е,NA,Л.,Научное кн-во,1929,Библиотека журн. «В мастерской природы». Для умелых рук,44,5000,0.4,NA
1918-1931,4,"Аббе, А.",АббеА,Самодельные гальванические элементы,NA,Изд. 3-е,NA,Л.,Научное кн-во,1931,Библиотека журн. «В мастерской природы». Для умелых рук,44,5000,0.4,NA
1918-1931,5,"Аббе, А.",АббеА,Самодельные электрические аккумуляторы,NA,NA,NA,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Для умелых рук,52,5000,0.45,NA
1918-1931,6,"Аббе, А.",АббеА,Самодельные электрические аккумуляторы,NA,Изд. 2-е,NA,Л.,Научное кн-во,1929,Библиотека журн. «В мастерской природы». Для умелых рук,52,5000,0.45,NA
1918-1931,7,"Аббе, А.",АббеА,Электрический трамвай,Рабочая модель,NA,NA,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Для умелых рук,32,5000,0.35,NA
1918-1931,8,"Абесгауз, Б.",АбесгаузБ,Памятка кружку ЮДМ (юных друзей МОПР),NA,NA,NA,М.,изд-во ЦК МОПР СССР,1930,NA,16,75000,0.4,NA
1918-1931,9,"Аби, Я. С.",АбиЯС,Путешествие для примера всем пионерам,NA,Рис. И. Вакс и Н. Кравченко.,NA,Л.,Красная звезда,1925,NA,10,5100,0.5,NA
1918-1931,15,"Абрамов, А.; Голицын, В.",ГолицынВ,Сделай сам конвейер,NA,NA,NA,М.,Огиз—Молодая гвардия,1931,NA,48,25000,0.35,NA
1918-1931,16,"Абрамов, И. С.",АбрамовИС,Что говорят забытые могилы,NA,Предисл. М. В. Новорусского. Изд. 2-е,NA,М.,Жизнь и знание,1927,Библиотека для юношества,169,8000,2,NA
1918-1931,17,"Абрамов, Я. В.",АбрамовЯВ,Георг Стефенсон,NA,NA,NA,П.,Сотрудничество,1919,NA,48,20000,NA,NA
1918-1931,18,"Абрамов, Я. В.",АбрамовЯВ,Роберт Фультон,NA,NA,NA,П.,Сотрудничество,1919,NA,32,20000,NA,NA
1918-1931,37,"Аверин, В.",АверинВ,Бесик,История одного хорька,Изд. 2-е,NA,Кишинев,Бессарабское кн-во,1918,NA,NA,NA,NA,NA
1918-1931,38,"Аверин, В.",АверинВ,Бесик,История одного хорька,Изд. 2-е,NA,М.,Знание,1924,Библиотека юного натуралиста,20,5000,0.15,NA
1918-1931,43,"Авсюкевич, В.",АвсюкевичВД,Как мы защищаемая с моря,Кронштадт,NA,NA,М.; Л.,Огиз — Учпедгиз,1931,Краев. библиотека школьника,64,10000,0.35,NA
1918-1931,78,"Адамович, П. А.",АдамовичПА,Гудочек,Как самому сделать музыкальный инструмент,NA,NA,М.,Крестьянская газета,1928,Библиотека «Дружные ребята»,30,25000,0.1,NA
1918-1931,79,"Адамович, П. А.",АдамовичПА,Гудочек,Как самому сделать музыкальный инструмент,NA,NA,М.,Крестьянская газета,1929,Библиотека «Дружные ребята»,30,30000,0.1,NA
1918-1931,80,"Адамович, П. А.",АдамовичПА,Гудочек,Как самому сделать музыкальный инструмент,Изд. 2-е,NA,М.,Крестьянская газета,1931,Библиотека «Дружные ребята»,48,30000,0.1,NA
1918-1931,81,"Адольф, Н.",АдольфН,Забастовка,NA,NA,NA,М.,Огиз—Молодая гвардия,1931,NA,32,25000,0.3,NA
1918-1931,86,"Азаров, К.; Мазуркевич, В.",АзаровК,Ковер-самолет,NA,NA,NA,Л.; М.,Радуга,1926,NA,11,30000,0.23,NA
1918-1931,86,"Азаров, К.; Мазуркевич, В.",МазуркевичВ,Ковер-самолет,NA,NA,NA,Л.; М.,Радуга,1926,NA,11,30000,0.23,NA
1918-1931,87,"Азаров, К.; Мазуркевич, В.",АзаровК,Ковер-самолет,NA,Изд. 3-е,NA,Л.,Радуга,1930,NA,11,80000,0.1,NA
1918-1931,87,"Азаров, К.; Мазуркевич, В.",МазуркевичВ,Ковер-самолет,NA,Изд. 3-е,NA,Л.,Радуга,1930,NA,11,80000,0.1,NA
1918-1931,88,NOAUTHOR,NA,АЗБУКА,NA,Рис. Н. Лемана.,NA,М.,Акад. пед. наук СССР,1924,NA,32,3000,NA,NA
1918-1931,88а,NOAUTHOR,NA,АЗБУКА,NA,Изд. 2-е,NA,М.,изд. автора,1924,NA,32,10000,NA,NA
1918-1931,89,NOAUTHOR,NA,АЗБУКА,NA,Рис. А. Ананова.,NA,Л.,Радуга,1924,NA,14,20000,NA,NA
1918-1931,90,NOAUTHOR,NA,АЗБУКА,Раскраска,Рис. Бруни и Коршикова.,NA,Л.; М.,Радуга,1928,NA,10,20000,0.3,NA
1918-1931,91,NOAUTHOR,NA,АЗБУКА-КРОШКА,NA,NA,NA,Одесса,БИП,1928,NA,12,10000,0.6,NA
1918-1931,92,NOAUTHOR,NA,АЗЕРБАЙДЖАНСКАЯ ПИОНЕРИЯ К VIII СЪЕЗДУ АЛКСМ,NA,NA,NA,Баку,ЦБ ДКО при ЦК AЛKCM,1929,NA,27,2000,NA,NA
1918-1931,95,"Акодус, Я. И.",АкодусЯИ,Будь готов к санитарной обороне,NA,NA,NA,М.,Огиз—Молодая гвардия,1930,"Библиотека пионера-активиста. Серия «Пионер, крепи оборону страны»",32,15000,0.12,NA
1918-1931,96,"Акодус, Я. И.",АкодусЯИ,Будь готов к санитарной обороне,NA,Изд. 2-е,NA,М.; Л.,Огиз—Молодая гвардия,1931,"Библиотека пионера-активиста. Серия «Пионер, крепи оборону страны»",32,30100,0.12,NA
1918-1931,97,Аксагорская,Аксагорская,Серпок и молоток,NA,Рис. А. Комарова.,NA,М.,Г. Ф. Мириманов,1925,Библиотека школьника,23,10000,0.35,NA
1918-1931,100,"Актан, Г. А.[Гильгендорф].",АктанГА,Белая шахта,Экскурсия на соляной рудник в Донбассе,NA,NA,М.; Л.,Огиз—Молодая гвардия,1926,Библиотека юного пионера,70,10000,0.25,NA
1918-1931,101,"Актан, Г. А.[Гильгендорф].",АктанГА,Пионерам о Красном флоте,NA,Предисл. В.  Зофа.,NA,М.,Новая Москва,1925,Библиотека юного пионера,76,10000,0.3,NA
1918-1931,102,"Актан, Г. А.[Гильгендорф].",АктанГА,"Пионерам о лыжах, коньках и салазках",NA,NA,NA,М.,Новая Москва,1925,Библиотека юного пионера,75,10000,0.3,NA
1918-1931,103,"Актан, Г. А.[Гильгендорф].",АктанГА,"Пионерам о лыжах, коньках и салазках",NA,Изд. 2-е,NA,М.,Огиз—Физкультура и туризм,1931,Библиотека юного пионера,40,10000,0.45,NA
1918-1931,104,"Акулов, Ф.",АкуловФ,Отцы и дети,Профсоюзы и пионеры,NA,NA,М.,Огиз—Молодая гвардия,1929,Библиотека пионерского слета. Серия «В дни слета»,39,15000,0.1,NA
1918-1931,147,NOAUTHOR,NA,АЛАДИН и ВОЛШЕБНАЯ ЛАМПА,NA,Рис. Н. Ульянова.,NA,М.,I. Кнебель,1918,NA,10,5000,NA,NA
1918-1931,150,"Алампиев, П.",АлампиевП,История транспорта,NA,NA,NA,Харьков,Всеукр. о-во содейств. юному ленинцу,1925,Библиотека юного ленинца,52,10000,0.14,NA
1918-1931,186,"Албычев, П.; Чикин, А.",ЧикинАА,Стереоскоп,NA,NA,NA,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Для умелых рук,43,5000,0.45,NA
1918-1931,187,"Алдошин, Н.",АлдошинН,Детская куроводная артель,NA,NA,NA,Орел,изд. Орловск. окр. бюро ДКО и ДТСХС,1930,NA,15,800,NA,NA
1918-1931,188,"Алдошин, Н.",АлдошинН,Детский колхоз,NA,NA,NA,Орел,изд. Орловск. окр. бюро ДКО и ДТСХС,1930,NA,20,800,NA,NA
1918-1931,192,"Александров, В.",АлександровВ,О Лене,NA,NA,NA,Харьков,Юный ленинец,1925,Библиотека юного ленинца,68,20000,0.2,NA
1918-1931,193,"Александров, В.; Котов, И.; Мушкин, М.",АлександровВ,Фабрика имени Степана Халтурина,NA,NA,NA,М.,Учпедгиз,1931,Рабкоры-ударники—политехнической школе. Серия под общей редакцией М. А. Сергеева,88,15000,0.45,NA
1918-1931,193,"Александров, В.; Котов, И.; Мушкин, М.",КотовИ,Фабрика имени Степана Халтурина,NA,NA,NA,М.,Учпедгиз,1931,Рабкоры-ударники—политехнической школе. Серия под общей редакцией М. А. Сергеева,88,15000,0.45,NA
1918-1931,193,"Александров, В.; Котов, И.; Мушкин, М.",МушкинМ,Фабрика имени Степана Халтурина,NA,NA,NA,М.,Учпедгиз,1931,Рабкоры-ударники—политехнической школе. Серия под общей редакцией М. А. Сергеева,88,15000,0.45,NA
1918-1931,199,"Алексеев, В.",АлексеевВ,Сэм и Дик,Эпизод из эпохи гражданской войны Северо-Америк. штатов,Рис. М. Шервинской.,NA,М.,Работник просвещения,1928,Читальня советской школы,35,10000,0.22,NA
1918-1931,209,"Алелекков, Л.",АлелекковЛ,Фабрика инженеров,NA,NA,NA,М.,Огиз—Молодая гвардия,1930,Деритесь за политехнизм,48,30100,0.13,NA
1918-1931,211,"Алешин, В.",АлешинВ,Пирог,NA,NA,NA,М.,Гиз,1928,Новая детская библиотека,14,35000,0.5,NA
1918-1931,212,"Алешин, В.",АлешинВ,Отдых юного пионера,NA,NA,NA,Ростов-Дон,Акад. пед. наук СССР,1925,Библиотека пионера,34,10000,0.15,NA
